Project Name,Price,Client,State,OCID,Year,Status,Award Date,Location
Provision and Installation of a High Specification Palisade Fence along the Lagos Rail Mass Transit (LRMT) Blue Line from Iganmu to Mile 12,"745,567,500.00",SUNSTEEL INDUSTRIES LIMITED,Lagos,ocds-5q8fsw-LAMATA/W/DC/002/19,2020.0,ONGOING,Not Available,IGANMU -MILE 12
Construction of Osapa Lagoon Trapezodial Channel,"507,908,766.88",BULLRUN RESOURCES LIMITED,Lagos,ocds-5q8fsw-MOE/ODS/W-DC/03/2020,2020.0,COMPLETED,Not Available,"OSAPA,  LAGOS"
"Concrete Lining of Akinola River/Aboru Channel, Alimosho LGA.","6,475,006,668.00",TRUCRETE SOLUTIONS LIMITED,Lagos,ocds-5q8fsw-MOE/ODS WR/W-RT/01/2020,2020.0,ONGOING,Not Available,"ALIMOSHO, LGA"
CONSTRUCTION OF DRY STORAGE FACILITY (WAREHOUSE) AT IMOTA,"551,800,788.13",RHEMA PROJECT BCEGI COMPANY LIMITED,Lagos,ocds-5q8fsw-MOA/W/DC/001/20/2 (PHASE 2),2020.0,ONGOING,Not Available,IMOTA
CONSTRUCTION OF DRY STORAGE FACILITY (WAREHOUSE) AT BADAGRY,"551,800,788.13",RHEMA PROJECT BCEGI COMPANY LIMITED,Lagos,ocds-5q8fsw-MOA/W/DC/001/20/2 (PHASE 1),2020.0,ONGOING,Not Available,BADAGRY
Channelization of Ferry Route from Ebute Ikorodu-Ilaje-Falomo,"3,028,000,000.00",MINISTRY OF WATERFRONT INFRASTRUCTURE DEVELOPMENT,Lagos,ocds-5q8fsw-MWID/W/ST/003-2/20,2020.0,ONGOING,Not Available,Not Available
Channelization of Ferry Route from Ojo-Badagry:,"4,663,799,990.00",DREDGING ATLANTIC LIMITED,Lagos,ocds-5q8fsw-MWID/W/ST/003-1/20,2020.0,ONGOING,Not Available,Not Available
"Construction of 160 Units of 2-Bedroom Bungalows and External Works in the Resettlement Housing Scheme at the Timberville, Agbowa-Ikosi","1,110,809,478.09",FIRST WORLD COMMUNITIES LIMITED,Lagos,ocds-5q8fsw-MPPUD/W/DC/001/20,2020.0,ONGOING,Not Available,Not Available
Ekoexcel services 2020/2021 academic session,"2,169,272,851.55",BRIDGE INTERNATIONAL ACADEMIES,Lagos,ocds-5q8fsw-LASUBEB/S/SS/002/20,2020.0,ONGOING,Not Available,Not Available
"Construction of Lekan Asuni close, Durosinmi Abokunwa, Oyebode Road and Admiral Oduwaye Roads at Omole Phase II","1,000,038,751.09",OCEANIC CONSTRUCTION AND ENGINEERING NIGERIA LTD,Lagos,ocds-5q8fsw-NTD/W/DC/001/19,2019.0,COMPLETED,Not Available,Not Available
"Sandfilling of Plots within Golden Jubilee Scheme (formerly Prince Court),Sangotedo","1,978,397,283.40",LEAN CONSTRUCTION  NIGERIA LIMITED,Lagos,ocds-5q8fsw-NTD/W/NS/015/17,2018.0,ONGOING,Not Available,Not Available
"Provison of Infrastructure within Prince Court Scheme, Sangotedo","4,303,473,747.91",CRANEBURG CONSTRUCTION COMPANY LIMITED,Lagos,ocds-5q8fsw-NTD/ENG/DC/W/01/07/16,2021.0,ONGOING,Not Available,Not Available
Procurement of additional seven (7) boats for the fleets of Lagos Ferry Services,"827,895,000.00",MESSRS. SLIMURG LIMITED,Lagos,ocds-5q8fsw-LFSC/G/DC/001/20,2020.0,ONGOING,Not Available,Not Available
Completion of Renovation in Lagos Island General Hospital,"621,435,014.17",HK DESIGNS LIMITED,Lagos,ocds-5q8fsw-LSMOH/W/ICB/002-005/20,2021.0,ONGOING,Not Available,Not Available
Construction of 280 bed general hospital in Ojo Local Government,"1,026,513,706.05",CIBA CONSTRUCTION COMPANY LIMITED,Lagos,ocds-5q8fsw-LSMOH/W/DC/005/2020,2020.0,ONGOING,Not Available,Not Available
Renovation of General Hospital Isolo,"644,098,805.86",MINISTRY OF HEALTH (HQ),Lagos,ocds-5q8fsw-LSMOH/W/NS/003/2020,2020.0,ONGOING,Not Available,Not Available
Construction of Psychiatric Hospital and Rehabilitation Center Ketu-ejirin,"1,026,513,706.05",FORMWORK LIMITED,Lagos,ocds-5q8fsw-LSMOH/W/NS/004/2020,2020.0,ONGOING,Not Available,Not Available
"Early Works (piling foundation) stage of Construction for the Massey street 130 bed Children Hospital along Adeniji Adele road, lagos Island, Lagos state","960,000,000.00",JITE PROJEKTS LIMITED,Lagos,ocds-5q8fsw-LSMOH/W/ICB/002-006/20,2020.0,ONGOING,Not Available,Not Available
"Conversion of the Terminal Building and the Premises of the Lagos State Government Jetty at Osborne Foreshore II, Ikoyi, to Temporary High Court Complex","550,387,735.25",DROYERS INVESTMENTS LIMITED,Lagos,ocds-5q8fsw-MWI/ W/DC/011/2020,2020.0,ONGOING,Not Available,Not Available
"Construction of Platinum Road, off Lekki-Epe Expressway, Igbokusi, Eti-Osa Local Government, Lagos (Section 2)","566,835,553.80",BAF EARTHWORKS SERVICES CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-MWI/W/DC/ 012/2020,2020.0,ONGOING,Not Available,Not Available
REHABILITATION/UPGRADING OF ETI- OSA/LEKKI/EPE EXPRESSWAY PROJECT FROM ELEKO JUNCTION TO EPE T JUNCTION (PHASE II),"65,005,452,647.37",CRANEBURG CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-MWI/W/DC/010/2020,2020.0,ONGOING,Not Available,Not Available
"Construction of Constituency Roads (Phase III) within the State in Agege L.G.A (Olabode Street, Oyinlola Street) and Oshodi-Isolo L.G.A. (Old Ewu Road)","2,467,384,006.73",STRABIC CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-MWI /W/DC/012/2020,2020.0,ONGOING,Not Available,Not Available
Construction of Constituency Roads (Phase III) within the State in Epe L.G.A ({i}Surveyor L. A. Yakubu/Methodist),"1,227,635,498.67",VISIBLE CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-MWI/W/DC/012/2020,2020.0,ONGOING,Not Available,LAGOS
"Renovation/Upgrading of revenue House Phase III (Formerly Elephant House) Alausa, Ikeja","3,406,441,244.75",INTEGRATED PROJECTS LIMITED,Lagos,ocds-5q8fsw-MWI/W/DC/011/2020,2020.0,ONGOING,Not Available,Not Available
Rehabilitation of Oba Sekumade Road in Ikorodu L.G.A,"6,102,099,026.80",ARAB CONTRACTORS LIMITED,Lagos,ocds-5q8fsw-MWI/W/DC/010/2020 D,2020.0,ONGOING,Not Available,Not Available
Construction of Constituency Roads within the State In Mushin Local Government (i) Ogundimu Str. Off Ajuwon (ii) Emmanuel Olorunfemi/Inuobimi/Moyo Agoro/Fadare Street,"2,828,184,935.26",XENON CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-MWI/W/ST/001/2019,2020.0,ONGOING,Not Available,Not Available
Rehabilitation/Upgrading of Iwaya Road in Lagos Mainland L.G.A,"2,298,725,862.83",EASTLINE DEVELOPMENT LIMITED,Lagos,ocds-5q8fsw-MWI/W/DC/010/2020A,2020.0,ONGOING,Not Available,Not Available
Rebilitation of ST.Finbars Road in Kosofe L.G.A (University of Lagos Gate to Abule Okota(Bariga Market),"3,502,143,595.68",FIRST AUGUST NIGERIA LIMITED,Lagos,ocds-5q8fsw-MWI/W/DC/010/2020 B,2020.0,ONGOING,Not Available,Not Available
Rebilitation of ST.Finbars Road in Kosofe L.G.A (Abule Okuta to Soluyi {Deeper Life Church},"3,511,242,335.39",METROPOLITAN CONSTRUCTION COMPANY LIMITED,Lagos,ocds-5q8fsw-MWI/W/DC/010/2020B,2020.0,ONGOING,Not Available,Not Available
Lagos State Government (LASG) Mapping Project and Outsourcing of LASG UAVs,"695,407,500.00",ASSECO SOFTWARE NIGERIA LIMITED,Lagos,ocds-5q8fsw-MST/PROC/09/66/ 20,2021.0,ONGOING,Not Available,Not Available
Renewal of ESET Secured  Enterprises Antivirus License Subscription for Three Years.,"516,152,994.00",MESSRS. ATB TECHSOFT SOLUTIONS LIMITED,Lagos,ocds-5q8fsw-PROC/MST/09/33/ 20,2020.0,ONGOING,Not Available,Not Available
RECONSTRUCTION OF ISUTI ROAD IN ALIMOSHO LOCAL GOVERNMENT AREA,"3,380,050,691.29",WIZCHINO ENGINEERING LIMITED,Lagos,ocds-5q8fsw-6202103823765,2019.0,,Not Available,Not Available
DEPLOYMENT OF MULTI-BIOMETRIC SEARCH SERVICE (MBBS) INTERFACE PLATFORM FOR LASRRA DATA HARMONIZATION WITH NIMC RECORDS,"3,188,233,456.00",IDENTIKO INTEGRATED SOLUTION LIMITED,Lagos,ocds-5q8fsw-6202118587267,2019.0,,Not Available,Not Available
"THE ENTERPRISE NETWORK CONNECTS ALL MDAs WITHIN AND AROUND THE NEW SECRETARIAT FOR E-GOVERNMENT OPERATIONS (SUCH AS GIS, E-C-OF-O, ORACLE ERP ETC) AND THE INTERNET","1,364,720,041.27",NESOS INFORMATION AND TECHNOLOGY SOLUTIONS LIMITED,Lagos,ocds-5q8fsw-6202122817846,2019.0,,Not Available,Not Available
PROCUREMENT OF 36 OFFICIAL VEHICLES (TOYOTA PRADO TXL) FOR THE 9TH ASSEMBLY HONOURABLE MEMBERS,"1,314,606,741.48",SKYLAND BUSINESS SOLUTIONS LIMITED,Lagos,ocds-5q8fsw-6202122358273,2019.0,,Not Available,Not Available
"CONSTRUCTION OF LEKAN ASUNI CLOSE, DUROSINMI ABOKUNWA, OYEBODE AND ADMIRAL ODUWAIYE ROADS AT OMOLE PHASE II","998,642,152.05",M/S OCEANIC CONSTRUCTION AND ENGINEERING LIMITED,Lagos,ocds-5q8fsw-6202110661856,2019.0,,Not Available,Not Available
"PROCUREMENT OF EIGHT NOS BOATS (50 PAX CATAMARAN FERRY QTY 2, 30 PAX MONOHULL FERRY QTY 4, 25 MONOHULL FERRY QTY 2)","704,635,000.00",SLIMBURG LIMITED,Lagos,ocds-5q8fsw-6202186303505,2019.0,,Not Available,Not Available
"RENOVATION OF MAIN BUILDING, EXTERNAL WORKS AND ESSENTIAL SERVICES ALONG WITH ALL OTHER BUILDINGS ON THE PREMISES OF THE RESIDENCE OF THE LAGOS STATE DEPUTY GOVERNOR AT OSBORNE ROAD","587,609,335.51",JULIUS BERGER NIGERIA PLC,Lagos,ocds-5q8fsw-6202115523831,2019.0,,Not Available,Not Available
RECONSTRUCTION OF IJEDE ROAD (ITAWAGA TO EWU ELEPE) IN IKORODU LOCAL GOVERNMENT AREA,"6,174,445,161.12",ARAB CONTRACTORS LIMITED,Lagos,ocds-5q8fsw-6202133712075,2019.0,,Not Available,Not Available
EKOEXCEL TRAINING PROGRAMME FOR LAGOS STATE PUBLIC PRIMARY SCHOOL TEACHERS (PHASE 1),"2,536,718,544.00",BRIDGE INTERNATIONAL ACADEMIES,Lagos,ocds-5q8fsw-6202123826322,2019.0,,Not Available,Not Available
ENGAGEMENT OF TECHNICAL CONSULTANT FOR THE DEVELOPMENT OF 4TH MAINLAND BRIDGE PROJECT,"2,487,831,854.54",ADVANCED ENGINEERING CONSULTANTS,Lagos,ocds-5q8fsw-6202140646184,2019.0,,Not Available,Not Available
"ENTERPRISE WIRELESS NETWORK CONNECTS ALL MDAs WITHIN AND AROUND THE NEW SECRETARIAT FOR E-GOVERNMENT OPERATIONS (SUCH AS GIS, E-C-OF-O, ORACLE ERP ETC) AND THE INTERNET","597,761,978.96",SOFT ALLIANCE AND RESOURCES LIMITED,Lagos,ocds-5q8fsw-6202157105640,2019.0,,Not Available,Not Available
"THE 3RD RENEWAL OF THE TURNKEY EXPANSION, UPGRADE CO-ORDINATION AND MANGEMENT OF LAGOS STATE EMERGENCY SERVICE INFRASTRUCTURE FOR THE PERIOD OF MAY 2019-DECEMBER 2019","714,000,000.00",AVANTGARDE NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202166346821,2019.0,,Not Available,Not Available
"Reconstruction of Murtala Muhammed International Airport (MMIA) Road,Lagos (Phase II)","10,779,815,241.90",HITECH CONSTRUCTION COMPANY LIMITED,Lagos,ocds-5q8fsw-6202141478473,2019.0,,Not Available,Not Available
"2nd Renewal of Award for the Turnkey Expansion, Upgrade Co-ordination and Management of Lagos State Emergency Service Infrastructure","4,008,000,000.00",AVANTGARDE NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202116885300,2019.0,,Not Available,Not Available
"Renewal of Award for the Turnkey Expansion, Upgrade Co-ordination and Management of Lagos State Emergency Service Infrastructure","3,610,400,000.00",AVANTGARDE NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202170614347,2019.0,,Not Available,Not Available
"Construction of Four (4) Pedestrian Bridges Along Eti-Osa/Lekki-Epe Expressway, Lagos Located at 1) Area Around 2nd Elliptical Roundabout 2) Area Around Stillwaters Estate/Oando PFS/Elegushi Communities 3) Areas Around the Local Government Secretariat, Igbo Efon 4) Mega Chicken Area/Ikota Villa, Ikota Village 5) Ilaje Communities Around Bethel Church","2,100,125,394.74",HITECH CONSTRUCTION COMPANY LIMITED,Lagos,ocds-5q8fsw-6202155471732,2019.0,,Not Available,Not Available
"Procurement of Basic Medical Equipment Such As: Nebulizers, Weighing Scales for Adults and Paediatrics, Diagnostic Sets, Stethoscopes, BP Aparatuses, Examination Couches, Fetal Stethoscopes, Glucometers, Snells Charts, Emergency Trays, Angle Poise Lamps, Patient Screens and Rectal Themometers For Ten (10) Hard To Reach Primary Healthcare Centers At  1) Alli Dawodu PHC. 2) Ikota PHC. 3) Oke Ira PHC. 4) Oworo PHC. 5) Agboyi PHC. 6) Imude PHC. 7) Ashogbon PHC. 8) Papa PHC. 9) Sagboki PHC.10) Oridilu PHC.","5,502,600.00",CREWMATE NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202172707881,2019.0,,Not Available,Not Available
"Construction and Digitalization of the Central Storage Facility and Supply of Furniture to the State Treasury Office, Agidingbi, Ikeja.","1,339,258,779.95",MESSRS METROL FITTINGS AND ACESSORIES NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202121311206,2019.0,,Not Available,Not Available
Procurement of 40 Units of Official Vehicles for Honorable Members (Back-Up Vehicles),"752,905,775.00",MESSRS SKYLAND BUSINESS SOLUTIONS LIMITED,Lagos,ocds-5q8fsw-6202153706246,2019.0,,Not Available,Not Available
Contract for Completion of Four Storey Faculty of Basic Science Block in Lagos State University College of Medicine (LASUCOM),"1,323,330,240.00",METROPOLITAN CONSTRUCTION COMPANY LIMITED,Lagos,ocds-5q8fsw-6202177752302,2019.0,,Not Available,Not Available
"Procurement of  Uniforms and Equipment for Neighbourhood Safety Corps for the First Batch as follows:-Purchase of 2280 Mountain Bicycle with Branding Cost.  2280 Cycling Helmet, 15960 Golf Shirts, 4560 Combat Pants and  Patrol Cap,  2280 pieces each of Shoulder Ranks,  Name Tag, Tactical Belts,  Boots. Knee and Elbow Guard, Baton/Holder, 50,000 Plastic Cuffs,  2280 pieces each of Whistles and  Backpack, Flashlight and 15960 Socks.","1,758,742,335.00",FORMAT POS LTD,Lagos,ocds-5q8fsw-6202170820278,2019.0,,Not Available,Not Available
"Procurement of Forty-Six (46) Units of New Ford Explorer XLT Auto Leather Seat being the Official Vehicle for 10 Commission Chairmen, 3 Commission Members and the Chairman (Lagos State Universal Basic Education Board)","1,282,050,000.00",COSCHARIS MOTORS LIMITED,Lagos,ocds-5q8fsw-6202140517436,2019.0,,Not Available,Not Available
"Reconstruction of Roads (Royal Palm Drive, Acacia Drive, Mahogany Street within Osborne Forshore Estate Phase II, Ikoyi, Eti-Osa Local Government","1,253,599,987.82",WICHTECH INDUSTRIES LIMITED,Lagos,ocds-5q8fsw-6202187131860,2019.0,,Not Available,Not Available
"Procurement of  Uniforms and Equipment for Neighbourhood Safety Corps for the First Batch as follows:-Purchase of 2280 Mountain Bicycle with Branding Cost.  2280 Cycling Helmet, 15960 Golf Shirts, 4560 Combat Pants and  Patrol Cap,  2280 pieces each of Shoulder Ranks,  Name Tag, Tactical Belts,  Boots. Knee and Elbow Guard, Baton/Holder, 50,000 Plastic Cuffs,  2280 pieces each of Whistles and  Backpack, Flashlight and 15960 Socks.","1,249,620,834.00",FORMAT POS LTD,Lagos,ocds-5q8fsw-6202155488616,2019.0,,Not Available,Not Available
"Completion of the Consruction of Agric Accesss Road, Egan Road Section (Phase A and Ayobo Road Section PhaseII B)","949,803,983.60",MESSRS NEESARM VENTURES NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202133772116,2019.0,,Not Available,Not Available
Re-Construction of Jide Oki/Ade Odederin/Moshood Olugbani Streets in Eti-Osa L.G.A,"728,995,496.42",2GENIES CONCEPTS LIMITED,Lagos,ocds-5q8fsw-6202158022476,2019.0,,Not Available,Not Available
"Completion of The Consruction of Egan --Ayobo Road and Link Bridge (Completion of Agric Road, Igando-Ikotun, LCDA","4,993,775,312.91",MESSRS NEESARM VENTURES NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202163456834,2019.0,,Not Available,Not Available
"Completion of the Construction of Agric Access Road, Egan Road Section ( Phase II A) and Ayobo Road Section (Phase II B)","949,803,983.60",NEESARM VENTURES NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202124617576,2019.0,,Not Available,Not Available
Construction of Egan-Ayobo Link Bridge in Igando-Ikotun L.C.D.A (Phase III),"4,847,109,456.18",NEESARM VENTURES NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202172101238,2019.0,,Not Available,Not Available
"Additional works on Dualisation of Bisola Durosimi Etti Drive/Hakeem Dickson Road, Lekki Phase I","1,183,314,754.86",HITECH CONSTRUCTION COMPANY LIMITED,Lagos,ocds-5q8fsw-6202168585831,2019.0,,Not Available,Not Available
"Construction of Asiwaju Bola Ahmed Tinubu International Tankers Terminal (A.B.A.T), Orile Iganmu in Apapa Local Government Area (Phase I)","6,665,733,628.74",AXFORDBRIDGE CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-6202146705161,2018.0,,Not Available,Not Available
Construction of Afromedia-Adaloko Road Phase II in Ojo Local Government Area,"3,011,401,544.94",SEG-MAHSDEN COMPANY NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202172682256,2018.0,,Not Available,Not Available
"Construction of Regional Food Stuff Market, Imota-Phase II","3,316,237,631.95",PAVEMENT TECHNOLOGIES LTD,Lagos,ocds-5q8fsw-6202156306004,2019.0,,Not Available,Not Available
Construction of Abule-Ado Road in Amuwo-Odofin Local Government Area (Phase III),"1,750,195,241.39",2 GENIES CONCEPT LIMITED,Lagos,ocds-5q8fsw-6202114061684,2019.0,,Not Available,Not Available
Procurement of Fifty (50) Official Vehicles for Magistrates and Personal Aides of Hon. Chief Judge of Lagos State Judiciary,"846,300,000.00",DANA MOTORS LIMITED,Lagos,ocds-5q8fsw-6202131156181,2019.0,,Not Available,Not Available
"Additional Works on Reconstruction of Ilaje Street with Jetty and Car Park, Bariga in Somolu LGA","718,113,930.00",AVATAR GLOBAL RESOURCES LIMITED,Lagos,ocds-5q8fsw-6202148775566,2019.0,,Not Available,Not Available
"Reconstruction of the Pedestrian Bridge at Fadeyi Along Ikorodu Road, Lagos","506,962,984.84",SPARKWEST STEEL INDUSTIES LIMITED,Lagos,ocds-5q8fsw-6202126470326,2019.0,,Not Available,Not Available
"Re-award of the 2017 Contract for the Construction of  Theaters, by a reduction of numbers from Six (6) to Four (4).  Theater sites are Ikeja, Epe, Badagry and Alimosho.  Initial Contact sum of N2,657,762,203.80 now  reduced to  N2,066,305,736.80 with the sumof N206, 124,987.32 approved for additional works","206,124,987.32",TERRA KULTURE ART STUDIOS LIMITED,Lagos,ocds-5q8fsw-6202100624278,2019.0,,Not Available,Not Available
Additional Works on Constuction of Lagos-Ogun Boundary in Alimosho Local Government Area,"948,872,809.03",VISIBLE CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-6202134343462,2019.0,,Not Available,LAGOS
Construction of General Hospital/ Truama Spine and Neurology(TSN) Centre,"9,243,591,336.80",CIBA CONSTRUCTION COMPANY LIMITED,Lagos,ocds-5q8fsw-6202117577334,2018.0,,Not Available,Not Available
"Construction of 14-Blocks 8-in-1, 2-Bedroom Flat and Infrastructural Works at Epe Housing Scheme","6,087,152,131.83",COSMO FORUM NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202147738071,2018.0,,Not Available,Not Available
Additional Works for BRT Operators Along Lagos-Badagry Expressway from Doyin-Orile Bus Station to Mile-2 Bus,"3,674,781,282.51",PLANET PROJECTS LIMITED,Lagos,ocds-5q8fsw-6202133655457,2018.0,,Not Available,Not Available
Review of Contract on  Construction of Oshodi Transport Interchange,"2,932,679,266.52",PLANET PROJECTS LIMITED,Lagos,ocds-5q8fsw-6202111211828,2018.0,,Not Available,Not Available
"Construction of Eleven   (11) Floors Luxury Apartment Building at Isale-Gangan, Lagos Island","1,821,566,606.14",ANATOLIA INTERNATIONAL LIMITED,Lagos,ocds-5q8fsw-6202115417300,2018.0,,Not Available,Not Available
"Construction of Commercial Court at Tapa,Lagos Island","1,414,026,843.27",SPARKLIGHT ENGINEERING COMPANY LTD,Lagos,ocds-5q8fsw-6202160558426,2018.0,,Not Available,Not Available
Procurement of BS42 BS36 Full Concrete Interlocking Paving Stone and Block Making Machine,"1,269,324,154.00",INFRASTRUCTURAL DEVELOPMENT AND ENERGY COMPANY LIMITED,Lagos,ocds-5q8fsw-6202151505346,2018.0,,Not Available,Not Available
"Construction of Phase 2 of the 32 Tons Per Hour Rice Mill at Imota, Lagos","11,194,816,547.16",CIBA CONSTRUCTION COMPANY LIMITED,Lagos,ocds-5q8fsw-6202161130427,2018.0,,Not Available,Not Available
Construction of Oshodi Transport Interchange (New Works),"7,055,549,335.72",AIL INFRASTRUCTURE LIMITED,Lagos,ocds-5q8fsw-6202175227036,2018.0,,Not Available,Not Available
Renewal of Contract in Respect of Soft Alliance and Resources Limited as Consultant for the Support and Maintenance Services for the Lagos State Global Computerization Projects ( GCP) For the June 2016-May 2018,"702,000,000.00",SOFT ALLIANCE AND RESOURCES LIMITED,Lagos,ocds-5q8fsw-6202103204041,2018.0,,Not Available,Not Available
Renovation of Teslim Balogun Stadium,"608,679,830.00",COMPREHENSIVE CONSORTIUM LIMITED,Lagos,ocds-5q8fsw-6202152153757,2018.0,,Not Available,Not Available
Construction of Oko-Afo Ilogbo Eremi Road  in Olorunda LCDA,"506,087,864.52",BIN UMAR INVESTMENT LIMITED,Lagos,ocds-5q8fsw-6202137878603,2018.0,,Not Available,Not Available
Equipping and Furnishing of Ayinke House Lagos State University Teaching Hospital (Additional Works),"870,941,384.92",PHILLIPS PROJECTS CENTRE LIMITED,Lagos,ocds-5q8fsw-6202156300415,2018.0,,Not Available,Not Available
Construction of Constituency Roads across  the State,"10,206,000,000.00",AREATECH CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-6202127732632,2018.0,,Not Available,Not Available
Redevelopment of the John  K.Randle Centre for Yoruba Culture and History (PhaseII),"2,552,188,012.50",STUDIO IMAGINE SIMPLY ARCHITECTURE LIMITED,Lagos,ocds-5q8fsw-6202107158143,2018.0,,Not Available,Not Available
Upgrading / Reconstruction of Onikan Stadium,"2,371,659,165.32",SLAVABOGU NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202135474042,2018.0,,Not Available,Not Available
"Construction of Access Roads with Bridges to Oregun Amusement and Recreational Park, Opebi Link Road in Ikeja Local Government Area","2,213,757,062.71",DC ENGINEERING LIMITED,Lagos,ocds-5q8fsw-6202151213486,2018.0,,Not Available,Not Available
Construction of Hospital/Ibafon/Kudaisi Street in Ajeromi Ifelodun LGA,"1,148,930,265.61",LAGFIELD CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-6202178270620,2018.0,,Not Available,Not Available
Construction of Ishefun-Camp Davies-Ijon and Road Network in Alimosho LGA,"12,800,000,000.00",VISIBLE CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-6202150544643,2018.0,,Not Available,Not Available
Construction of Samuel Ekundayo/Toga Road in Badagry LGA,"9,929,500,000.00",MEDAVILLE CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-6202160540478,2018.0,,Not Available,Not Available
Installation of a Replacement and Expanded Shoreline Protection Seawall to Facilitate the Construction of the Lagos Rail Mass Transit (LRMT) Blueline at Outer Marina,"4,584,170,745.00",INFRASTRUCTURAL DEVELOPMENT AND ENERGY COMPANY LIMITED,Lagos,ocds-5q8fsw-6202150635137,2018.0,,Not Available,Not Available
"Restoration of Glover Memorial Hall, Customs Street, Lagos","910,964,289.03",SUSTAINABLE PROCUREMENT SERVICES LIMITED,Lagos,ocds-5q8fsw-6202106818053,2018.0,,Not Available,Not Available
"Construction of Roads 7,8,9,10 11 at LagosHoms Sangotedo Phase II","510,342,782.75",COSMO FORUM NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202100234271,2021.0,,Not Available,Not Available
Additional Works on the provision of Traffic Infrastructure and Management along Alapere Phase II,"612,289,852.65",PLANET PROJECTS LIMITED,Lagos,ocds-5q8fsw-6202183746268,2020.0,,Not Available,Not Available
Provision of Centralized Sewage Treatment Plant at Lagoshoms Sangotedo Phase II,"874,894,379.55",COSMO FORUM NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202126335033,2019.0,,Not Available,Not Available
Reconstruction of Otto-Wharf/Mba Cardoso Road in Ajeromi-Ifelodun Local Government Area,"3,070,911,681.50",REGENT CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-6202127163826,2018.0,,Not Available,Not Available
Construction of LASEMA Response Unit((LRU) Epe - Epe Local Government,"1,980,000,000.00",CRANEBURG CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-6202121072336,2018.0,,Not Available,Not Available
Construction of Abule Egba Bus Terminal,"2,786,311,306.80",RATCON CONSTRUCTION COMPANY LIMITED,Lagos,ocds-5q8fsw-6202120720650,2018.0,,Not Available,Not Available
Construction of Iyana Ipaja Bus Terminal,"2,228,544,654.05",RATCON CONSTRUCTION COMPANY LIMITED,Lagos,ocds-5q8fsw-6202134178034,2018.0,,Not Available,Not Available
Facilities Management /Maintenance and Beautification of Lekki-Epe Express-Way,"6,957,338,556.03",STRONGTOWER INFRASTRUCTURE DEVELOPMENT LTD,Lagos,ocds-5q8fsw-6202151138065,2018.0,,Not Available,Not Available
Provision of Sandfilling within the Golden Jubilee Scheme Sangotedo,"1,976,254,027.64",LEAN CONSTRUCTION  NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202127571805,2018.0,,Not Available,Not Available
Completion of 52 Bedroom Hotel and Upgrading of Facilities at Lagos State V.I.P Chalet in Badagry L.G.A,"7,230,000,000.00",SLAVABOGU NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202142123140,2018.0,,Not Available,Not Available
"Construction of a Block of 13 Classrooms, Head Teachers Office, Assistant Head Teacher, Store and Toilets(RAFT FOUNDATION) with Fire Fighting and Fire Alarm at Nazareth College Junior Secondary School, Ibonwon Epe . LOT No:07","95,715,650.63",AOD COMPANY LIMITED,Lagos,ocds-5q8fsw-6202176465661,2018.0,,Not Available,Not Available
"Construction of Central Library Building (Phase 2A) at the Lagos State University ,Ojo Campus","1,699,246,667.60",MINISTRY OF WORKS INFRASTRUCTURE,Lagos,ocds-5q8fsw-6202106544305,2018.0,,Not Available,Not Available
Procurement of Medical Consumables,"2,340,000.00",MINISTRY OF HEALTH (HQ),Lagos,ocds-5q8fsw-6202166364223,2020.0,,Not Available,Not Available
"Tagging ,Storing, Re- Installing Equipment for the conversion of the cardiac and renal centre into an Infectious Disease Treatment Isolation Centre","6,352,000.00",MINISTRY OF HEALTH (HQ),Lagos,ocds-5q8fsw-6202150662056,2020.0,,Not Available,Not Available
"Connecting to power, Linclusive of procurement and Installation of generator on conversion of the cardiac and renal centre into an infectious Disease Treatment Isolation Centre","80,000,000.00",MINISTRY OF HEALTH (HQ),Lagos,ocds-5q8fsw-6202100750417,2020.0,,Not Available,Not Available
